participant_ID,program_ID,rm_engagement,gender_female,urm,pre_interest,negative_affect,post_science_interest,post_science_competence_beliefs,post_science_utility_value,post_mathematics_interest,post_mathematics_competence_beliefs,post_mathematics_utility_value,post_engineering_interest,post_engineering_competence_beliefs,post_engineering_utility_value,post_future_job_work_science_computer,post_future_job_use_science_math,post_future_job_become_STEM,post_interest,overall_post_competence_beliefs,overall_post_utility_value,program_name,rownum
1004,1,4,0,1,1.3333333333333333,4,1,1,1,3.6666666666666665,3,3.8,4,4,4,3,4,4,NA,4,4,Boston - Dorchester House,13
1004,1,4,0,1,1.3333333333333333,4,1,1,1,3.6666666666666665,3,3.8,4,4,4,3,4,4,NA,4,4,Boston - Dorchester House,14
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,3.3333333333333335,3.6666666666666665,3.2,Boston - Dorchester House,1
1005,1,3.25,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,2
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,3
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,4
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,5
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,6
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,7
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,8
1005,1,2.5,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,9
1005,1,2.5,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,10
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,11
1005,1,2.75,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,12
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,13
1005,1,2.75,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,14
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,15
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,16
1005,1,2,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,17
