participant_ID,program_ID,program_providence,have_no_demo_data,have_pre_survey_data,have_post_survey_data,has_grade,race,gender,English,Mathematics,Science,STAR_BOY_Math_ScaledScore,STAR_MOY_Math_ScaledScore,STAR_EOY_Math_ScaledScore,standardized_bos,has_standardized_score,standardized_but_no_grade,grade_but_no_standardized,LEP,SP,DaysEnrolled14/15,English15/16,Math15/16,Science15/16,Standardized_Bos 15/16
4081,4,0,0,1,1,1,Black,M,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
4082,4,0,0,1,0,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
4084,4,0,0,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,717,1,1,0,NA,NA,NA,NA,NA,NA,NA
4089,4,0,0,0,1,1,Hispanic,F,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
4090,4,0,0,0,1,1,Black,F,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
4091,4,0,0,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
4093,4,0,0,1,1,1,Black,F,NA,NA,NA,NA,NA,NA,737,1,1,0,NA,NA,NA,NA,NA,NA,NA
4096,4,0,0,1,1,1,Black,M,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
4998,4,0,0,0,1,1,Hispanic,F,NA,NA,NA,NA,NA,NA,708,1,1,0,NA,NA,NA,NA,NA,NA,NA
5024,5,0,0,0,1,1,Black,M,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
5044,5,0,0,1,1,1,Black,M,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
5098,5,0,0,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,754,1,1,0,NA,NA,NA,NA,NA,NA,NA
5101,5,0,0,1,1,1,Black,F,NA,NA,NA,NA,NA,NA,685,1,1,0,NA,NA,NA,NA,NA,NA,NA
5102,5,0,0,1,0,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
5104,5,0,0,1,1,1,Hispanic,M,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
5106,5,0,0,1,1,1,Hispanic,F,NA,NA,NA,NA,NA,NA,779,1,1,0,NA,NA,NA,NA,NA,NA,NA
5107,5,0,0,1,1,1,White,M,NA,NA,NA,NA,NA,NA,743,1,1,0,NA,NA,NA,NA,NA,NA,NA
5108,5,0,0,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,766,1,1,0,NA,NA,NA,NA,NA,NA,NA
5109,5,0,0,1,0,1,Black,F,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
5110,5,0,0,1,0,1,Black,M,NA,NA,NA,NA,NA,NA,730,1,1,0,NA,NA,NA,NA,NA,NA,NA
5111,5,0,0,1,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,791,1,1,0,NA,NA,NA,NA,NA,NA,NA
5112,5,0,0,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,767,1,1,0,NA,NA,NA,NA,NA,NA,NA
5113,5,0,0,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,778,1,1,0,NA,NA,NA,NA,NA,NA,NA
5115,5,0,0,1,1,1,Black,F,No Consent,No Consent,No Consent,NA,NA,NA,No Consent,0,0,0,NA,NA,NA,NA,NA,NA,NA
5116,5,0,0,1,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,689,1,1,0,NA,NA,NA,NA,NA,NA,NA
5118,5,0,0,1,0,1,Hispanic,F,NA,NA,NA,NA,NA,NA,754,1,1,0,NA,NA,NA,NA,NA,NA,NA
5119,5,0,0,1,1,1,Black,M,C,C,B,NA,NA,NA,729,0,0,0,0,NA,180,B,B,B,726
5120,5,0,0,1,1,1,Black,M,B,C,B,NA,NA,NA,771,0,0,0,0,NA,180,B,B,C,755
5121,5,0,0,1,1,1,Black,F,B,A,A,NA,NA,NA,771,0,0,0,0,NA,180,B,B,B,744
5122,5,0,0,1,1,1,Black,F,C,C,B,NA,NA,NA,734,0,0,0,0,NA,180,B,B,B,726
5123,5,0,0,1,1,1,Hispanic,M,C,C,B,NA,NA,NA,728,0,0,0,0,1,180,C,C,C,732
5124,5,0,0,1,0,1,Black,M,A,A,A,NA,NA,NA,785,0,0,0,0,NA,180,A,A,A,786
5125,5,0,0,1,1,1,Black,F,C,C,B,NA,NA,NA,715,0,0,0,0,NA,180,C,D,C,715
5126,5,0,0,1,0,1,Black,F,C,C,C,NA,NA,NA,684,0,0,0,0,1,180,D,D,D,703
5128,5,0,0,1,1,1,Black,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
5129,5,0,0,1,1,1,Black,F,C,C,B,NA,NA,NA,733,0,0,0,NA,NA,180,C,D,C,715
6130,6,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
6144,6,1,1,1,1,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
6150,6,1,1,1,1,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
6156,6,1,1,1,0,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
7168,7,1,1,1,1,1,White,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
7169,7,1,1,1,1,1,White,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
7174,7,1,1,1,1,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
7175,7,1,1,0,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
7179,7,1,1,1,1,1,Black,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
7180,7,1,1,1,0,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,7,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
8201,8,1,1,1,1,1,White,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
8204,8,1,1,1,1,1,Black,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
8210,8,1,0,1,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
9225,9,1,1,1,0,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
9231,9,1,1,1,1,1,NA,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
9237,9,1,1,1,1,1,Black,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10249,10,1,1,1,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10257,10,1,1,1,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10263,10,1,1,1,0,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10269,10,1,1,1,1,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10270,10,1,1,0,0,1,Hispanic,F,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
