participant_ID,program_ID,beep_ID,locale,doing_as_supposed,thinking_of_related,working_alone,challenge,good_at,interest,important,future_goals,use_outside,enjoy,concentrating,learning,in_control,hard_working,happy,excited,frustrated,bored,stressed,additional_comments,whom_working_with,response_date,time_after_signal_seconds,sixth_math_sociedad,seventh_math_sociedad,eighth_math_sociedad,dance_sociedad,robotics_sociedad,signal_number,relevance,missing_whom2,positive_affect,negative_affect,overall_engagement,cognitive_engagement,affective_engagement,behavioral_engagement,situational_interest,sociedad_class,beep_ID_new
1001,1,1-2015-07-14-1,1,1,1,1,2,3,2,2,3,2,3,4,4,3,3,2,3,1,4,1,NA,NA,2015-07-14,11:18:00,0,0,0,0,0,1,0,2.3333333333333335,2.5,1,2.8333333333333335,2.5,2.5,3.5,2.3333333333333335,NA,1NA12015-07-14-
1001,1,1-2015-07-14-2,1,1,1,1,1,4,2,3,3,3,3,3,3,3,3,4,2,1,2,1,NA,NA,2015-07-14,11:41:00,0,0,0,0,0,2,0,3,3,1,2.8333333333333335,3,2.5,3,2.6666666666666665,NA,1NA22015-07-14-
1001,1,1-2015-07-15-1,1,1,1,1,1,4,4,1,3,1,4,2,3,4,1,4,3,1,1,1,NA,NA,2015-07-15,11:37:00,0,0,0,0,0,1,0,1.6666666666666667,3.5,1,2.5,2,4,1.5,2.6666666666666665,NA,1NA12015-07-15-
1001,1,1-2015-07-15-2,1,1,1,1,3,4,3,3,1,3,3,3,3,3,1,4,4,1,1,1,NA,NA,2015-07-15,12:23:00,0,0,0,0,0,2,0,2.3333333333333335,4,1,2.3333333333333335,2,3,2,2.3333333333333335,NA,1NA22015-07-15-
1001,1,1-2015-07-21-1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,1,4,1,NA,2,2015-07-21,11:09:00,0,0,0,0,0,1,0,3,3.5,1,3,3,3,3,3,NA,1NA12015-07-21-
1001,1,1-2015-07-21-2,1,1,1,2,3,4,1,3,3,3,2,3,3,3,4,2,1,3,4,3,THIS SURVEY SUCKS,2,2015-07-21,12:35:00,0,0,0,0,0,2,0,3,1.5,3,2.6666666666666665,3,1.5,3.5,2.3333333333333335,NA,1NA22015-07-21-
1001,1,1-2015-07-21-4,3,1,1,1,1,4,3,4,3,3,4,2,3,2,2,4,4,1,1,1,THIS SURVEY SUCKS,NA,2015-07-21,14:27:00,0,0,0,0,0,4,0,3.3333333333333335,4,1,3,3.5,3.5,2,3.3333333333333335,NA,1NA42015-07-21-
1001,1,1-2015-07-22-1,1,1,1,1,3,4,3,2,4,3,3,4,3,3,3,4,3,1,3,1,THIS TEST SUCKS,NA,2015-07-22,11:23:00,0,0,0,0,0,1,0,3,3.5,1,3.1666666666666665,3,3,3.5,3,NA,1NA12015-07-22-
1001,1,1-2015-07-22-4,1,1,1,1,1,4,4,4,4,4,4,4,3,3,3,4,3,1,1,1,NA,NA,2015-07-22,13:56:00,0,0,0,0,0,4,0,4,3.5,1,3.8333333333333335,4,4,3.5,4,NA,1NA42015-07-22-
1001,1,1-2015-07-28-1,1,1,1,1,2,3,3,3,3,4,3,3,3,3,3,4,4,1,1,1,THIS SURVEY SUCKS,NA,2015-07-28,11:00:00,0,0,0,0,0,1,0,3.3333333333333335,4,1,3,3,3,3,3,NA,1NA12015-07-28-
